,sxk9sc,sxk9sd,sxk9s4,sxk9s7,sxkdhz,sxk9uz,sxkdjp,sxkdjp,sxkdjp,sxk9ed,sxk9s4,sxk9sc,sxk9s1,sxkdh7,sxkdhd,sxk9sc,sxk9s7,sxkdhf,sxkdhx,sxk9uy,sxkdhz,sxkdjp,sxk9ut,sxkdh7,sxk9e6,sxk9uz,sxk9e3,sxkdhf,sxk9s4,sxk9ed,sxk9e7,sxkdhx,sxk9ew,sxkdhf,sxk9ec,sxkdhf,sxk9e7,sxkdhz,sxk9e3,sxkdhz,sxk9ek,sxk9sc,sxkdh7,sxkdhx,sxk9s4,sxk9s4,sxkdjp,sxk9ek,sxk9ew,sxk9ek,sxk9ey,sxk9uy,sxkdhd,sxk9ut,sxk9sd,sxk9uz,sxk9s7,sxk9e7,sxk9e3
Beyoğlu İtfaiye İstasyonu,321.23508231302293,285.21885334070873,157.20073843194342,208.71144144463415,1157.5051766670788,812.0257613808376,1177.0231575008168,1175.155748503103,1172.824850629236,92.56899655457353,139.2830816745729,319.5421218064977,121.13000807907447,939.5317373575408,926.9930856868648,323.51909607070405,236.18312116402433,930.5833897778026,1153.5088745688638,735.080924377018,1163.3393419574738,1173.3624125128113,700.178848344084,934.0260333726068,101.92142734875279,804.8593526919008,99.186330934863,927.6865939597342,175.54632986064547,80.31449885625945,148.57130846113014,1151.186180866656,280.7149485180823,929.254534310719,91.23014507672313,926.7019554934959,161.73451390138212,1158.0325505047153,97.3310325736273,1163.1145938452353,216.72688598195887,325.0133664969943,935.3905611523552,1152.6964609211332,188.77088435151347,173.76539165288014,1176.6662027426878,180.40241292560177,282.7544812248187,198.0746082763571,292.57063689455236,755.7747049208028,930.3761897908262,714.4988130746318,289.8552854175992,800.7080806101801,213.47972726977653,163.7063852168468,88.4959326347695
Mecidiyeköy İtfaiye İstasyonu,282.1188132934179,232.10173616760895,105.13669570260802,120.03991622668855,1001.5845109014747,659.2199171398748,1021.2961997490186,1019.3858823902275,1017.0977077350922,101.4472471827558,102.71332836996889,278.4903772886534,100.75812676809002,784.2221035377172,771.0022495459339,285.61098488351956,142.79730050967328,775.2177097680552,998.0255074208318,581.2186962073724,1007.354984272921,1017.7834865373153,545.8714728100575,778.6304858043236,134.5474677923751,651.6121494084538,189.30519363190496,771.9667105927309,106.1738308342314,79.02499953066557,109.58164762345386,995.5562441281927,142.50892211690112,773.5903400940874,83.97782424072079,770.9248298561023,110.5195366404642,1002.0414081221435,149.07791496110912,1007.1253024112156,137.86185902601252,291.18066423119785,780.0424867044167,996.7782220420356,111.64267129768824,111.34856747270787,1020.8726353747436,120.50389660992164,143.08247097410157,130.81719437528187,139.37841510910295,602.2711928738004,774.4329845962391,560.3960055413504,233.00435158985877,647.7216436931626,125.5526604433687,115.54293927397231,152.651671911405
Beşiktaş İtfaiye İstasyonu,135.28303042877533,115.27004386097171,102.73866992190858,126.85164956138678,1116.4030237136053,737.6658771612209,1119.7690816743036,1118.7846805764698,1115.6314207363107,240.6305313060998,103.03069965731089,134.7742780464786,109.00140787978887,913.0810014052524,882.880126304822,136.7694160266328,137.07934375433328,872.2093149329511,1121.3806897645652,669.5961633857012,1118.8148969082736,1113.636625905155,639.1770883506933,906.614249534178,269.833177530131,733.1682923818272,289.7277123289862,874.6372883532055,110.74791050083262,199.75585426235762,286.5198762326499,1116.841472919815,341.45482496485823,875.1779079440737,144.39943276597145,874.8065483297567,294.556377616935,1112.8197041990218,273.88854216293186,1114.750269509582,337.2228933746921,136.36446616073988,908.5513734898104,1111.7472104822318,115.16102911449018,103.7428566039245,1120.784002498166,310.5454814643164,340.9616366933733,325.3155929179679,317.6336228608162,687.2660181133264,883.0851713211588,651.4455032362993,122.0180411448946,727.6850128906561,126.15125536284143,298.9046607054685,268.6973895387919
Ortaköy İtfaiye İstasyonu,129.41266170410273,124.07038516768294,237.46012217495144,190.77317035069285,926.7023820847395,531.1260582001389,916.7345469061127,916.4563961377787,912.7179778882796,392.60962959251503,254.93044635133035,126.19375032068233,272.98879385368804,743.2103579517958,697.2934667381875,131.3064789182813,163.51325916659172,674.2734722722687,939.4982523993339,474.4160602934958,926.1376013266104,908.8043515539206,450.4320634951049,736.0655625374594,427.64629749503615,529.0816964150133,471.3103867852809,681.2594481709046,220.7475859082443,354.786169445139,411.4426903115055,933.0733751119891,365.5762036733738,680.8745383852997,308.3706010855411,682.4475864999158,411.7247643213899,919.6878073584476,439.07015032528113,918.9453411235634,427.12660509312343,139.02660852949438,738.4870286924564,922.2822519220737,208.32421344878932,221.1772775009253,918.8026745164814,419.35133940364085,362.445921515617,426.1445687095186,312.0356920203771,488.24139254420055,694.5726667476384,459.79091481206257,117.15036948058207,522.6950140222611,185.2603082382093,416.7332423504065,438.97310182299697
Seyrantepe İtfaiye İstasyonu,486.194602253467,436.8594262836296,365.27807145654333,343.34485105352553,763.6656854221523,489.1018230652129,800.5800901988698,797.6919063458466,796.4574583286087,337.3402943062646,371.297120819987,481.5323116342726,375.55768388735873,538.6631461873865,545.8719748755017,490.0178060479989,345.4977822286091,568.5261471067217,751.5093189878742,408.14373185185474,772.8187506445861,800.1640527176121,371.684070853006,534.2685245193669,350.6819323005357,478.0531904027095,407.46656417604964,558.2529526412306,354.9258215074656,343.58035860815426,292.500043382071,751.1611939703972,142.39905711619483,561.1396946290965,364.0485215947936,555.7494305103085,279.4632835831547,768.3905797734458,366.25906345811825,776.7251974499555,232.7483966191037,498.3147917415889,535.0412042476769,758.8365434624478,351.0939376642357,361.95704010298005,798.5526678140287,265.22387261142205,140.41923667847163,251.55623697410402,148.07937655493504,430.79521068517477,553.0655384865222,386.9398352145169,433.4489802581409,476.95505347687583,345.9058339458547,280.5427750724594,375.72709631560525
İstinye İtfaiye İstasyonu,541.5180064674028,527.2315818127299,587.8308081972575,535.0105760698975,536.8599942854853,138.3991578747463,511.9576137793323,512.3359467294356,508.10658006054575,687.1481378223027,605.0615689483867,538.1947033327747,621.4181349689264,399.6453789924831,327.89541480362226,543.4465407091321,511.4513974890822,284.01490724889385,560.1124388366123,133.63233631657252,532.4830784146487,502.55459821748207,146.28994355109037,392.0649890814905,717.2967575720552,142.68946011970667,775.2285623273448,298.57441993207357,568.1708540340416,664.7447278125309,673.1972441527117,551.2107791442857,539.207277187964,296.5285850667306,642.2188697177047,301.546456576334,665.4271010042322,525.6417236646469,733.1026702030234,521.6896661968278,645.3331714155835,551.1099820295536,395.14732153729744,532.8942620785369,555.3614574371584,572.6470744599828,514.9757890179455,661.3649675899815,534.8775606110099,656.8817433494853,488.04728603255364,128.30203248716865,319.78642973069793,139.47221463335705,520.0269941116677,135.2046305017716,531.8068190503814,669.2457012831885,738.2187862705881
Sarıyer İtfaiye İstasyonu,930.4786537666284,905.2867155285904,927.1765878741548,879.823844779512,122.18915289178585,279.4568505633481,138.9126059543712,135.59453216201888,134.899766785788,975.4429660677208,941.7319148067521,926.5305409497078,954.7282291981974,145.39115009801986,118.51746400313918,933.0439550345111,862.4940353355674,132.3952671437323,146.85765665257054,331.07044618520206,121.60672994810584,140.9410629298663,358.8164938417642,145.62563667819796,997.1844043021914,278.74602572368013,1056.7431101796683,123.79493913023403,908.9294489105364,967.0345561492496,941.9835704490874,136.64135094420746,786.9828976615194,124.04567584331684,963.3963957609355,123.03311621439887,930.3848727829381,115.42715648577145,1013.5573670596685,118.0356519960006,890.7811179009093,941.4894047620188,146.65359268331267,117.95085829720183,898.0351933616166,914.9346226588534,136.22856863788306,919.2853665708197,783.4507587253411,908.1290884832606,756.9806676404011,316.70151446392475,115.23052219698214,347.4142614568878,898.4119304173279,285.7473290067427,878.3625328339169,932.5857786340779,1021.610531717424
Şişli İtfaiye İstasyonu,478.2243493669557,433.3823830516827,293.72123675349536,329.8704568865523,1132.3072135279747,831.6996477921745,1166.9886366735022,1164.3046671065747,1162.8360114598336,129.16643367922646,280.33032587394854,475.49379094040415,265.6593008513284,907.3096230015144,912.1840310626059,481.1872188813196,355.8703041414939,929.4099858916811,1119.8251944044357,750.5391709319293,1141.286899364171,1165.839945265247,713.6625536559087,902.9389255875625,95.98855170763458,822.3155723931387,91.06452500735143,921.4699658808487,305.1621393805514,170.61623529059273,111.30841549093967,1119.6776844971098,247.93768622543183,923.9688182449058,225.93615296580592,919.4094197013176,116.2754018733012,1136.7813185411887,91.07153742093939,1144.7798831155803,140.22844631425826,484.7195259706604,903.7031848853665,1127.476716791879,315.4429703924201,307.3170333503426,1165.299848614895,118.9654714341543,251.97220146577098,125.12502815271354,292.9883829809843,772.8735531111262,918.4907768809877,728.9630302329956,436.0797034659278,819.6679273800058,335.5482867477466,112.00208167375493,97.37100144166163
Hacıosman  İtfaiye İstasyonu,715.9745870411963,686.1271870868304,697.5782316840895,651.6878420350515,346.3290801244063,145.95621152578352,368.10150938025095,365.6507749337931,363.9270490748067,742.4123340293703,711.60692333065,711.7611440805421,724.0519832961974,148.49016710546005,114.57668954526557,718.843066666768,635.8794046059962,136.92236506681442,349.2080316588928,135.96809251466945,351.08900735770106,366.5295394605687,147.87158894582106,141.14951087158997,764.4067028522965,134.8002773029113,824.0404438520738,123.70098601507578,679.7390022855463,734.0704606909542,709.5367206980616,344.6499743018334,554.8946994150705,126.88658674148009,731.417938943254,120.97333954656443,698.1041432002702,345.65719180672704,780.7968549150172,350.66431393724054,659.7375512988846,727.5775875603597,143.74409190496195,341.5725152009012,669.2896671515161,685.9371403671805,366.8262479144692,687.4114764033642,551.283519007926,676.7058441940051,523.9343671186823,135.55204735293788,119.33657479208183,142.37780247206356,679.5102953336312,140.96658191273724,650.5817496887742,700.4152078971925,788.7625202410374
Maden  İtfaiye İstasyonu,1163.2027994366092,1138.7764938311761,1160.1888831096558,1113.2412275024712,118.24890350499034,507.2696622702811,135.19448177777875,132.7848160014568,138.1395480273241,1202.9967072956001,1174.5305526227492,1159.3111695219263,1187.2470985529503,343.2155165554744,349.74785280229275,1165.7049624903045,1096.1537454722688,362.5890240100332,138.57497239876741,564.2059841838221,112.62656852350587,149.28387732648778,592.5683184506022,347.37734799773466,1223.2869390667593,508.2310543514596,1282.4488451469797,357.1889082921167,1142.0771355621239,1196.4696663259601,1167.0919555245953,134.52764344415704,1011.6562171800875,357.03374503678253,1194.8685299564063,356.71379824525167,1155.066170168246,118.4795522244586,1239.5617303598463,117.9465923157882,1112.9554711233056,1174.0797293399667,346.697352213805,123.08472148219934,1131.3105595831757,1148.1437670407588,129.52415316718185,1143.0196949340902,1008.3171867163562,1130.9571118001368,985.0529484441623,548.9293073252816,348.41657138989393,580.9918549249231,1131.8752871963814,514.8638246799377,1111.851376055931,1156.9792041737512,1247.9724285506024
