,sxk9sc,sxk9sd,sxk9s4,sxk9s7,sxkdhz,sxk9uz,sxkdjp,sxkdjp,sxkdjp,sxk9ed,sxk9s4,sxk9sc,sxk9s1,sxkdh7,sxkdhd,sxk9sc,sxk9s7,sxkdhf,sxkdhx,sxk9uy,sxkdhz,sxkdjp,sxk9ut,sxkdh7,sxk9e6,sxk9uz,sxk9e3,sxkdhf,sxk9s4,sxk9ed,sxk9e7,sxkdhx,sxk9ew,sxkdhf,sxk9ec,sxkdhf,sxk9e7,sxkdhz,sxk9e3,sxkdhz,sxk9ek,sxk9sc,sxkdh7,sxkdhx,sxk9s4,sxk9s4,sxkdjp,sxk9ek,sxk9ew,sxk9ek,sxk9ey,sxk9uy,sxkdhd,sxk9ut,sxk9sd,sxk9uz,sxk9s7,sxk9e7,sxk9e3
Beyoğlu İtfaiye İstasyonu,740.2302919226215,713.030693265486,425.57066769682854,503.27102972526933,1956.5285563251696,1402.4200444610888,2095.4856130791973,2095.4856130791973,2095.4856130791973,263.0427559072822,392.58193824132087,740.2302919226215,368.40559103821795,1564.8071278584584,1416.234409434823,740.2302919226215,612.1736495592036,1494.7800162314152,2073.0235534175595,1265.2052923953142,1936.3211682108713,1781.9941540872032,1209.2146542612325,1564.8071278584584,305.16710224746265,1400.8397910326375,334.21387712169303,1451.806192196836,461.87736213918856,277.1897480253935,377.4524221594457,2073.0235534175595,636.9129371478665,1459.3142854157916,268.0926910204557,1438.6630799044106,416.1206784889922,1963.7422800986374,327.7391194456322,1902.977298706636,560.7836580080819,740.2302919226215,1564.8071278584584,1956.5285563251696,503.0256694002447,482.8922026968606,1834.8484920181268,993.450162820762,641.1088118504447,543.8132564437249,721.2444719194568,1292.3471441111583,1419.8758119060872,1224.8876374177162,713.030693265486,1394.7580081107176,507.96400142487647,416.1206784889922,331.430383512954
Mecidiyeköy İtfaiye İstasyonu,504.37203754156974,472.2812604334514,188.4149490232913,180.76886142665558,1624.207880020977,1070.099368156896,1763.1649367750044,1763.1649367750044,1763.1649367750044,235.0042561219699,194.42131834250088,504.37203754156974,187.17326696832242,1232.4864515542658,1083.9137331306306,504.37203754156974,279.8529732550106,1162.4593399272228,1740.702877113367,932.8846160911215,1604.0004919066787,1449.6734777830106,876.8939779570394,1232.4864515542658,287.16369983847744,1068.519114728444,394.0867016653485,1119.4855158926437,194.9145311254138,194.391564524695,306.1616479945965,1740.702877113367,362.5573945783438,1126.9936091115992,144.04102064015333,1106.3424036002182,318.58991471457676,1631.4216037944448,309.735717036647,1570.6566224024434,326.06841093671096,504.37203754156974,1232.4864515542658,1624.207880020977,188.64006026007152,210.30064859317966,1502.5278157139342,833.6320515165359,366.75326928092187,280.1673390515819,416.336935655771,960.0264678069645,1087.5551356018948,892.5669611135232,472.2812604334514,1062.437331806524,185.46183312626272,318.58991471457676,334.03328261892096
Beşiktaş İtfaiye İstasyonu,198.51725184554394,215.9929975074761,199.8669958850514,220.79921158812044,1714.8368887457755,1160.7283768816942,1853.793945499803,1853.793945499803,1853.793945499803,555.3169256277091,190.26624415102174,198.51725184554394,212.76338704772172,1323.1154602790643,1174.5427418554286,198.51725184554394,208.46741637993293,1253.0883486520208,1831.3318858381656,1023.5136248159198,1694.6295006314772,1540.3024865078091,967.5229866818377,1323.1154602790643,599.5530225602596,1159.148123453242,660.1812157346244,1210.1145246174417,179.40554400203973,442.2528374161881,626.4743175003357,1831.3318858381656,635.6626459181765,1217.6226178363972,308.2455936281691,1196.9714123250162,628.545867580175,1722.0506125192433,622.1250397584292,1661.285631127242,599.1736622765438,198.51725184554394,1323.1154602790643,1714.8368887457755,220.5538512630958,200.42038455971183,1593.1568244387327,1106.7373028563688,639.8585206207547,553.2725903914147,589.7331521703682,1050.6554765317628,1178.1841443266928,983.1959698383215,215.9929975074761,1153.066340531322,225.49218328772758,628.545867580175,646.4226053407033
Ortaköy İtfaiye İstasyonu,187.34369127878512,240.98800834808327,536.9861748856317,501.6553685899463,1608.3163777180125,930.1607513000095,1747.27343447204,1747.27343447204,1747.27343447204,770.2011486866787,560.2309347517947,187.34369127878512,582.7280776484947,1216.5949492513014,1068.0222308276661,187.34369127878512,433.5869714429888,1146.5678376242583,1724.8113748104026,795.9564600279705,1588.1089896037142,1433.7819754800462,788.4842683751298,1216.5949492513014,822.360592403186,928.5804978715579,929.2835942300571,1103.5940135896792,515.8010382887046,755.111498115288,822.9904885296535,1724.8113748104026,680.8912157392803,1111.1021068086347,676.374626866211,1090.4509012972537,812.774600170679,1615.5301014914803,844.9326096013558,1554.765120099479,783.4023948670482,187.34369127878512,1216.5949492513014,1608.3163777180125,500.942433817279,488.6744842395498,1486.6363134109697,1290.9660354468729,659.0304485799626,737.5013229819189,571.5084140925691,820.0878509500783,1071.6636332989303,804.1572515316136,240.98800834808327,922.4987149496378,506.34834028955345,812.774600170679,869.2301751836299
Seyrantepe İtfaiye İstasyonu,958.0935368485293,865.1003289812776,678.657983103143,643.3271768074576,1380.4255466938002,864.4539493007308,1519.3826034478277,1519.3826034478277,1519.3826034478277,692.4554763076288,750.7559875609501,958.0935368485293,752.3798662471124,988.7041182270892,840.1313998034541,958.0935368485293,744.8691163607912,918.6770066000457,1496.9205437861904,689.1022827639449,1360.218158579502,1205.891144455834,633.1116446298628,988.7041182270892,728.8968838590259,840.5196437684855,835.819885685897,875.7031825654672,657.4728465062159,797.8973361245924,707.5571155329335,1496.9205437861904,346.28342000967314,883.2112757844227,784.3554048272508,862.5600702730416,696.1888903072263,1387.639270467268,751.4689010571956,1326.8742890752667,547.9072261229538,958.0935368485293,988.7041182270892,1380.4255466938002,651.1983756408736,672.8589639739816,1258.7454823867574,1022.8142191474025,332.84702416551056,646.3673688075775,360.5517319070234,732.0269968470059,843.772802274718,648.7846277863466,865.1003289812776,834.4378608465654,648.0201485070647,696.1888903072263,775.7664666394696
İstinye İtfaiye İstasyonu,977.5224604139789,939.4363441627132,877.4937873969419,842.1629811012565,1106.9133941317791,255.24129860376817,1245.8704508858066,1245.8704508858066,1245.8704508858066,1110.7087611979887,949.591791854749,977.5224604139789,951.2156705409113,715.191965665068,546.1226432595269,977.5224604139789,939.9945828429203,522.4677530626334,1223.4083912241692,229.63946853209785,1086.7060060174808,932.3789918938128,255.39546647942598,715.191965665068,1162.8682049144963,267.29995982727814,1269.791206741368,562.5172772170449,856.3086508000148,1095.6191106265971,1163.4981010409633,1223.4083912241692,863.6900004504781,555.3567996752593,1016.8822393775213,568.5513137291143,1153.2822126819885,1114.127117905247,1185.4402221126663,1053.3621365132456,1103.1094396635458,977.5224604139789,715.191965665068,1106.9133941317791,850.0341799346725,871.6947682677805,985.2333298247362,1338.4438516891682,841.8292332911604,1078.0089354932288,715.3758436286613,218.28707134715893,549.7640457307907,269.957123509696,939.4363441627132,261.22751383953556,846.8559528008636,1153.2822126819885,1209.7377876949404
Sarıyer İtfaiye İstasyonu,1385.3923494739906,1335.737377048036,1143.3282129026588,1107.9974066069728,471.69945560322,478.33943979119744,610.6565123572476,610.6565123572476,610.6565123572476,1373.1060047368271,1215.4262173604654,1385.3923494739906,1217.0500960466277,207.90369007328005,193.16676729150046,1385.3923494739906,1209.5393461603069,238.35798222681947,588.1944526956098,547.197201193068,451.49206748892163,297.165053365254,528.0890922639655,207.90369007328005,1409.5474122882235,447.052319632226,1516.4704141150949,203.5617549285782,1122.1430763057313,1361.4535361323146,1403.8493806996912,588.1944526956098,1065.6409451272875,207.2359406036097,1282.716664883238,190.4186426361527,1392.481155473984,478.9131793766877,1432.1194294863933,418.1481979846866,1305.0603843403553,1385.3923494739906,207.90369007328005,471.69945560322,1115.868605440389,1137.5291937734974,350.01939129617733,1540.3947963659768,1043.7801779679698,1342.1238273822678,917.3267883054704,519.0121641968203,176.00832836902836,512.4161091074817,1335.737377048036,461.6371646206944,1112.69037830658,1392.481155473984,1456.4169950686673
Şişli İtfaiye İstasyonu,912.8471042727201,880.756327164602,627.7543047279861,589.2439281578061,1793.8120755790974,1277.8404781860288,1932.7691323331248,1932.7691323331248,1932.7691323331248,396.9342565250163,641.6677381195886,912.8471042727201,634.4196867454103,1402.0906471123863,1253.5179286887508,912.8471042727201,680.8320221234771,1332.063535485343,1910.3070726714875,1102.488811649242,1773.604687464799,1619.277673341131,1046.4981735151603,1402.0906471123863,363.7143591734064,1253.906172653783,380.16648356883235,1289.0897114507638,603.3895978565644,539.4486423375802,287.77100999270084,1910.3070726714875,562.9241645894975,1296.5978046697194,591.2874404172413,1275.9465991583384,252.88615007810654,1801.0257993525652,379.88646599875017,1740.2608179605638,255.2427380250932,912.8471042727201,1402.0906471123863,1793.8120755790974,597.115126991222,618.7757153243301,1672.1320112720546,416.42473096176144,581.415373108646,297.1009324402255,719.7946307499403,1145.4135257323037,1257.159331160015,1062.171156671644,880.756327164602,1247.824389731863,593.9368998574132,252.88615007810654,386.67441270065973
Hacıosman  İtfaiye İstasyonu,1110.800394241053,1061.1454218150977,868.7362576697209,833.4054513740355,681.0752690327776,301.61642578937807,820.0323257868052,820.0323257868052,820.0323257868052,1098.5140495038886,940.834262127528,1110.800394241053,942.4581408136903,289.3538405660668,140.7811221424315,1110.800394241053,934.947390927369,219.32672893902324,797.5702661251674,272.6052459601302,660.8678809184794,506.5408667948116,253.49713703102773,289.3538405660668,1134.9554570552853,270.3293056304066,1241.8784588821566,176.35290490444459,847.5511210727938,1086.8615808993761,1129.2574254667536,797.5702661251674,791.0489898943495,183.86099812340007,1008.1247096503002,163.20979261201907,1117.8892002410464,688.2889928062453,1157.527474253455,627.5240114142443,1030.4684291074168,1110.800394241053,289.3538405660668,681.0752690327776,841.2766502074514,862.9372385405595,559.395204725735,1265.8028411330397,769.1882227350318,1067.5318721493302,642.7348330725322,246.8735060879529,144.4225246136954,237.82415387454392,1061.1454218150977,284.91415061887506,838.0984230736426,1117.8892002410464,1181.825039835729
Maden  İtfaiye İstasyonu,1944.7889846405049,1895.1340122145486,1702.7248480691721,1667.3940417734862,231.5999713162699,1037.736074957711,370.5570280702976,370.5570280702976,370.5570280702976,1932.5026399033407,1774.8228525269787,1944.7889846405049,1776.446731213141,722.1086135518361,752.5634024580139,1944.7889846405049,1768.9359813268202,797.7546173933328,338.6359373995813,1106.5938363595815,292.2264407593022,332.34978164323127,1087.4857274304788,722.1086135518361,1968.944047454737,1006.4489547987395,2075.8670492816086,762.9583900950914,1681.5397114722446,1920.8501712988286,1963.2460158662047,338.6359373995813,1625.0375802937997,766.6325757701229,1842.1133000497514,749.8152778026658,1951.8777906404976,238.81369508973765,1991.5160646529068,258.8825712550671,1864.4570195068684,1944.7889846405049,722.1086135518361,231.5999713162699,1675.2652406069024,1696.9258289400107,279.1681143179097,2099.79143153249,1603.176813134482,1901.5204625487813,1476.7234234719838,1078.4087993633336,735.4049635355418,1071.8127442739951,1895.1340122145486,1021.033799787208,1672.0870134730933,1951.8777906404976,2015.8136302351809
Kağıthane  İtfaiye İstasyonu,1085.9163612031036,1053.8255840949857,800.8235616583696,762.3131850881896,1562.1331141218946,1046.1615167288253,1701.090170875922,1701.090170875922,1701.090170875922,631.2090139759449,814.7369950499719,1085.9163612031036,807.4889436757936,1170.4116856551834,1021.838967231548,1085.9163612031036,859.5231004630288,1100.3845740281402,1678.6281112142847,870.809850192039,1541.9257260075963,1387.5987118839282,814.8192120579569,1170.4116856551834,638.0184272871965,1022.2272111965796,744.9414291140675,1057.410749993561,776.4588547869479,746.1763083623338,598.7797445538936,1678.6281112142847,417.82810875700426,1064.9188432125165,764.3566973476246,1044.2676377011355,570.0702238376563,1569.3468378953623,660.5904444853661,1508.581856503361,365.7765809419561,1085.9163612031036,1170.4116856551834,1562.1331141218946,770.1843839216056,791.8449722547136,1440.4530498148517,734.1056186855014,434.1720397387385,511.92005255312756,518.167329268761,913.7345642751,1025.480369702812,830.4921952144407,1053.8255840949857,1016.1454282746595,767.0061567877967,570.0702238376563,684.8880100676402
