,sxkdhz,sxk9u4,sxkdk5,sxk9ee,sxk9ub,sxkdt0,sxkde3,sxkdh5,sxk9g3,sxk9s3,sxk9uv,sxkds3,sxkdmz,sxk9sk,sxkdhf,sxkd5x,sxk9dg,sxkddd,sxkdku,sxk9gb,sxk9us,sxk9tp,sxk9ew,sxkd7z,sxk9u9,sxkdk3,sxk9vr,sxk9gj,sxk9eb,sxkdhd,sxkds8,sxkdsg,sxk9ej,sxk9uk,sxk9g4,sxk9sd,sxkdhj,sxk9ev,sxkd5y,sxk9ur,sxk9e4,sxkdm1,sxkdqj,sxkdhw,sxk9sv,sxk9g9,sxk9ge,sxk9s5,sxkdkd,sxkd5u,sxk9uz,sxk9e8,sxk9v4,sxkdsc,sxk9u2,sxk9e3,sxk9sq,sxkdkp,sxk9e7,sxk9gg,sxkdjp,sxkdse,sxk9s0,sxkdh7,sxk9sn,sxkdt8,sxk9ux,sxk9eq,sxkde1,sxk9vh,sxk9gk,sxkdkt,sxk9sw,sxkdj0,sxk9vm,sxkd7c,sxkdkc,sxkdkk,sxkdt2,sxkde8
Beyoğlu İtfaiye İstasyonu,1877.9244782786643,1014.8881694391366,2113.9120150973718,375.8358398493248,933.5744226506465,2385.136870627717,2274.0597746221847,1509.9086402015628,889.1270216826889,523.0907509843469,1186.7104303489818,2616.541296706218,2448.6523270935986,597.2287540997088,1443.17148457175,1832.2106286152994,738.3413812583796,2113.1538201632916,2233.824579611333,904.5476069945098,1088.8823328466524,932.8548736048416,599.987214751484,2259.739174713258,889.5396227122218,2026.2331213814884,1473.5305318825656,1285.626581527901,211.55204341351657,1361.4992106800337,2342.687029862235,2495.19747474244,697.6206117578496,1057.578319840676,1047.2487007247412,641.6839731977248,1575.322883834755,562.1092310154328,1750.5818166760878,1316.8920395555397,613.7281195877266,2042.8525077285703,2407.5294228082116,1689.810907723052,819.4381364010324,885.7025559456415,1003.2468878444415,435.13916041457725,2041.1761285348653,1564.0991367090865,1375.048248559029,300.92647226654077,1117.5572522426207,2404.612899453091,838.1559577458266,318.82810346009194,647.2200123769045,2299.518616048697,403.137874832557,956.2099920756831,1799.1492528722288,2466.9013102254235,475.91734506179523,1536.1616942027927,678.0475667256247,2327.2392922520307,1265.7386458477372,632.4129426035255,2249.114489541301,1235.9565408078834,1200.0327920021612,2201.454052256873,743.7301332190019,1498.717275921043,1413.260239294747,1937.194494836478,2004.0687918891133,2137.1444652129667,2327.2392922520307,2394.9750485813684
Mecidiyeköy İtfaiye İstasyonu,1565.6817319201052,702.6454230805779,1801.669268738813,147.35809688000387,621.3316762920886,2072.894124269158,2052.427645020421,1197.665893843004,667.494892080926,281.72054278948156,874.4676839904228,2304.298550347659,2136.409580735039,284.9860077411502,1130.928738213191,1519.9678822567407,547.3997710784199,1891.5216905615284,1921.581833252773,592.304860635951,776.6395864880936,620.6121272462831,340.4763233712755,1947.4964283546983,577.2968763536638,1713.9903750229294,1161.2877855240058,1026.1156901476922,309.3147259957559,1049.2564643214748,2030.4442835036757,2182.954728383881,511.9491186423954,745.3355734821168,787.7378093445327,400.3137650028596,1263.080137476196,272.2959321052582,1438.339070317529,1004.6492931969806,496.37276228612706,1730.6097613700113,2095.286676449652,1377.5681613644929,507.1953900424741,626.1916645654331,743.7359964642332,125.35618230813617,1728.9333821763062,1251.8563903505276,1062.8055022004708,431.58672612974175,805.3145058840623,2092.370153094532,525.9132113872676,360.8311214377111,334.97726601834614,1987.2758696901376,325.73703518429477,643.9672457171242,1486.9065065136697,2154.658563866864,396.3888439082398,1223.9189478442336,365.804820367066,2014.9965458934716,953.4958994891781,410.7808130017625,2027.4823599395374,923.7137944493242,940.5219006219527,1889.2113058983134,431.4873868604437,1186.474529562484,1101.017492936188,1624.9517484779192,1691.8260455305542,1824.9017188544078,2014.9965458934716,2082.7323022228084
Beşiktaş İtfaiye İstasyonu,1623.5718077992617,760.5354989597346,1859.5593446179694,417.02460737291875,663.5810463775357,2130.784200148314,2207.1247322434724,1255.5559697221604,893.0488499011276,84.01456862197841,919.1932154894699,2362.188626226815,2194.299656614196,271.54088537176074,1188.8188140923476,1577.8579581358972,772.9537288986215,2117.0756483817304,1979.4719091319296,650.1949365151078,834.5296623672504,658.3823079280498,566.0302811914767,2005.3865042338548,619.546246439111,1771.8804509020858,1206.0133170230533,1118.5101426134738,309.66101609015914,1107.1465402006313,2088.3343593828317,2240.844804263037,737.503076462597,803.2256493612736,1011.227066646052,183.5122540810315,1320.9702133553524,444.59237062301924,1496.2291461966854,1062.5393690761373,721.9267201063285,1788.4998372491677,2153.176752328809,1435.4582372436494,465.5178792062417,806.6033576287825,836.1304489300145,201.3173241889979,1786.8234580554627,1309.746466229684,1120.695578079627,587.209954732368,847.5638759695096,2150.260228973688,575.9620154625047,605.1115859259193,377.2266361037933,2045.165945569294,590.3531304147685,701.857321596281,1544.7965823928262,2212.5486397460204,284.65654950849114,1281.80902372339,423.6948962462227,2072.886621772628,1011.3859753683348,636.3347708219642,2235.5908855579096,968.4393259483714,1032.916353087734,1947.10138177747,473.7367569458908,1231.200061061531,1145.7430244352352,1682.8418243570757,1749.7161214097107,1882.7917947335643,2072.886621772628,2140.6223781019653
Ortaköy İtfaiye İstasyonu,1572.1969288827806,770.0681081665922,1808.1844657014883,630.0596460296475,468.77937861000413,2079.4093212318335,2155.7498533269913,1235.7398641638058,935.3653955253088,318.78242122639523,724.3915477219384,2310.8137473103347,2142.9247776977145,493.1831557540446,1137.4439351758667,1549.0734733436257,976.0258758664052,2130.4482007698025,1928.0970302154485,659.0946702503669,710.596641156388,404.50801366682856,683.7301489099249,1954.0116253173737,424.7445786715793,1720.5055719856048,1011.2116492555214,1128.0427518203314,637.4697662434284,1055.7716612841505,2036.9594804663511,2189.469925346557,940.5752234303806,812.7582585681312,1020.6676421404098,224.2095841714935,1269.5953344388713,593.3211738365363,1455.4714148809753,1072.071978282995,924.9988670741118,1737.1249583326867,2101.8018734123275,1384.0833583271683,211.64358494502022,816.1359668356401,845.6630581368721,471.10872917221724,1735.4485791389816,1319.2790754365417,926.0684257787268,915.0187048856367,617.9384095942828,2098.8853500572072,483.8885306826634,862.8846114295768,307.99142401874474,1993.791066652813,793.4252773825522,711.3899308031387,1493.421703476345,2161.1737608295393,473.3201938256031,1230.434144806909,400.37059429266907,2021.511742856147,927.5223985198003,839.4069177897476,2184.2160066414285,773.6376581808398,1042.4489622945916,1895.7265028609888,265.5312099069139,1036.3983932939993,950.9413566677042,1648.968809970209,1698.3412424932296,1831.4169158170832,2021.511742856147,2089.247499185484
Seyrantepe İtfaiye İstasyonu,1341.3760292947572,469.11025044052457,1519.023029011067,572.6597210876736,704.8695895795473,1749.8094524441603,1690.532130655324,862.4030206057072,216.0150473940715,754.5744880178969,678.4618742605263,1981.2138785226605,1912.1038781096913,718.3686815777728,906.6230355878434,1109.143362298184,655.868595828418,1529.6261761964313,1697.276130627425,188.34587239070075,552.3338838627461,810.2708280397566,333.7098471634335,1599.7250493023703,632.1914356671086,1489.6846723975812,965.2819757941093,539.6951748123322,889.6394620768943,824.9507616961271,1695.7993876208059,1859.8700565588836,457.1602211031191,521.0298708567697,301.31729400917266,846.3723991554067,1038.7744348508475,451.2077681696115,1027.514550358972,669.386419959684,732.488478175686,1506.3040587446633,1870.980973824304,1153.2624587391444,790.7669809277014,44.412784395383795,257.31548112887293,639.4636898446555,1504.627679550958,831.3358644347854,838.499799575123,911.0938851006597,761.6801722697829,1769.285481269534,562.8229829863388,809.5613614178615,516.0565141195297,1639.5044906378093,717.1610811298672,222.81426623492825,1262.6008038883217,1806.887184814535,891.3601335609882,999.6132452188853,424.7409044433706,1790.6908432681234,729.1901968638305,372.4946166558838,1665.5868455744403,727.7079847194278,454.1013852865926,1644.9753820685903,715.058977745671,979.0590780575136,905.0116832062922,1214.1272285193622,1467.5203429052062,1600.5960162290596,1790.6908432681234,1734.9609231704803
İstinye İtfaiye İstasyonu,1062.222620919678,403.43183502442156,1298.210157738385,1015.6735823648323,429.6201795270898,1569.4350132687307,1645.7755453638874,741.6295492604241,744.8035587702685,971.8334636806435,200.2435820746034,1800.8394393472308,1632.9504697346122,935.6276572405193,547.3975715735318,1039.099165380523,970.9507495900256,1778.1669551040097,1418.1227222523455,579.7225211121503,301.4047232487668,527.1319951734848,882.26302461407,1444.0373173542707,406.0753162478319,1210.5312640225018,281.46768243068686,880.5157743626248,1106.8984377396407,525.6229847894801,1526.9851725032481,1679.495617383454,1010.9903807887113,443.3164947530989,830.1058053853695,908.6547898596781,759.6210264757683,833.9869032045447,945.4971069178725,637.31322997162,1085.8950668859957,1227.1506503695841,1591.827565449225,874.109050364065,629.5029622167199,726.0034240524296,641.9981606403252,856.7226655074021,1225.4742711758786,886.6326762303214,290.8992589741859,1340.0024987777397,249.07209009266037,1588.9110420941045,477.86900967689024,1248.4985477647615,619.1475876681184,1483.8167586897098,1179.0392137177373,592.8497702493961,983.4473955132424,1651.1994528664354,1108.619109223735,720.4598368438061,674.4816164104935,1511.537434893044,356.64547556139763,987.9977461222514,1674.2416986783248,47.70064924040603,794.9219848368853,1385.7521948978858,589.6151252312046,310.34949078094166,156.2552387977733,1138.9945020071066,1188.366934530127,1321.4426078539802,1511.537434893044,1579.2731912223808
Sarıyer İtfaiye İstasyonu,424.415841268165,625.301886572116,728.5301054879828,1270.0253702169039,922.569724069681,999.7549610183286,1076.095493113485,501.8612050835172,966.6736103179629,1226.185251532714,613.1827986222123,1231.1593870968288,995.1436900830989,1189.9794450925906,233.17327331573637,528.8524654019401,1192.8208011377199,1208.4869028536073,848.442670001943,801.5925726598448,568.3433184708824,1052.6026844951634,1104.1330761617646,874.357265103868,823.452882998271,640.851211772099,502.75490575808664,1097.4466280365393,1361.2502255917111,214.8735489157506,957.3051202528458,1109.815565133052,1232.8604323364057,531.6084923807592,1051.975856933064,1324.118309173897,249.3743264971856,1055.8569547522393,435.25040693928975,558.4827852651135,1307.76511843369,589.3438707180708,954.0207857977119,192.7547983203423,1113.5866583016218,947.8734756001243,863.8682121880196,1111.0744533594723,655.794218925476,638.4668671307282,431.11754161884465,1594.3542866298112,820.8979745535393,1019.2309898437022,895.2465764273292,1502.850335616833,993.8024241380193,914.1367064393071,1433.391001569809,809.7806239233108,345.6406158617291,1081.5194006160327,1362.970897075805,210.2131368652234,896.351667958188,941.8573826426416,412.3289867395272,1209.867797669946,1104.5616464279224,716.083318969389,1011.8528385107998,816.0721426474835,1006.9926919816437,512.6632203983659,689.7162173882364,628.7478020285237,550.5601548786141,751.7625556035778,941.8573826426416,1009.5931389719781
Şişli İtfaiye İstasyonu,1756.7439004744926,893.7075916349654,1992.7314372932003,348.03555557448607,960.9843334608502,2210.202244945919,1921.3687167726837,1388.7280623973916,574.649179148353,627.1547766273111,1093.8297454402611,2441.60667102442,2327.4717492894265,621.789559262151,1321.9909067675785,1683.1133202868696,238.04288434798397,1760.462762313791,2112.644001807161,705.7675334139581,967.7017550424812,960.2647844150453,517.0754264430985,2061.829147404013,916.9495335224254,1905.0525435773168,1380.6498469738447,1023.5532346049724,605.044162633836,1240.3186328758622,2156.192180122565,2320.262849060642,348.85066039309015,936.3977420365044,657.5089502647417,745.747998840689,1454.1423060305833,537.971392321601,1601.484508347658,1195.7114617513685,14.463498070578845,1921.6719299243987,2286.3488450040395,1568.6303299188803,846.848047211236,623.6292090227133,741.1735409215133,494.98059643539,1919.9955507306936,1405.3058224234715,1253.8676707548575,568.3755144662256,1144.9671630528242,2229.678273771293,865.5658685560303,324.98670207336056,674.6299231871081,2063.8612199821664,232.68238550363998,834.754368379486,1677.968675068057,2267.279977316295,767.3912148986389,1414.981116398621,705.4574775358284,2206.058714447859,1144.5580680435658,359.1075012664039,1896.4234316918,1143.0758558991627,937.9594450792329,2080.273474452701,771.1400440292056,1394.426949237248,1320.3795543860263,1788.0971865080483,1882.8882140849416,2015.9638874087952,2206.058714447859,2118.551967058073
Hacıosman  İtfaiye İstasyonu,645.1485322947642,335.3545930790968,881.136069113471,980.0780767238839,632.6224305766616,1152.3609246438166,1228.701456738973,308.69146757578864,676.7263168249439,936.2379580396951,323.2355051291935,1383.7653507223167,1215.8763811096978,900.0321515995709,210.39553858785013,622.0250767556084,902.8735076447008,1361.0928664790954,1001.0486336274312,511.6452791668258,278.39602497786314,762.6553910021441,814.1857826687452,1026.9632287293562,533.5055895052516,793.4571753975871,391.5826998798035,807.4993345435205,1071.3029320986923,128.72326469613336,1109.911083878334,1262.4215287585398,942.9131388433865,241.66119888773974,762.0285634400449,1034.171015680877,342.5469378508539,765.9096612592199,528.4230182929581,268.53549177209436,1017.8178249406709,810.0765617446697,1174.7534768243106,457.0349617391508,823.6393648086021,657.9261821071049,573.9209186950005,821.1271598664537,808.4001825509641,504.91872472104785,237.3207705491526,1304.4069931367912,530.9506810605201,1171.8369534691903,605.29928293431,1212.903042123813,703.855130645,1066.7426700647952,1143.4437080767889,519.8333304302919,566.373306888328,1234.1253642415209,1073.0236035827866,303.38574821889165,606.4043744651688,1094.4633462681295,122.38169324650804,919.920504176927,1257.1676100534105,451.48468540211223,721.9055450177809,968.6781062729716,717.0453984886243,401.4910145200827,534.4453516580353,721.920413382192,771.2928459052127,904.3685192290659,1094.4633462681295,1162.1991025974662
Maden  İtfaiye İstasyonu,192.62352846937648,1163.6684468623835,472.2824422128671,1808.391930507171,1460.9362843599483,534.518247441429,751.4864823193848,930.2399948686646,1505.0401706082307,1764.5518118229813,1151.5493589124799,765.9226735199295,558.6460089413589,1728.3460053828576,771.5398336060035,702.7811236808036,1731.1873614279873,914.9528953569582,322.3234357038394,1339.9591329501127,1106.7098787611499,1590.9692447854304,1642.4996364520323,625.9221212175273,1361.8194432885384,314.3405094112926,1041.121466048354,1505.8263701809367,1899.6167858819786,753.2401092060178,492.06840667594633,644.5788515561524,1771.2269926266736,1069.9750526710266,1590.3424172233317,1862.4848694641641,714.7414325124499,1594.2235150425074,703.2639630099875,1096.8493455553808,1846.1316787239575,222.53496318598044,517.5231046559719,614.2759290272296,1651.953218591889,1486.2400358903922,1402.2347724782876,1649.4410136497397,151.23650842209582,885.7455043183261,969.4841019091119,2132.7208469200777,1359.2645348438066,553.9942762668027,1433.613136717597,2041.2168959071,1532.1689844282866,539.683839004073,1971.7575618600763,1348.1471842135788,319.5336747035757,690.0455334129836,1901.3374573660724,716.9768981507425,1434.718228248455,415.73814834453793,950.6955470297946,1748.2343579602134,779.9526356338222,1254.449879259657,1550.2193988010683,327.22245386477897,1545.359252271911,1051.029780688633,1228.082777678504,525.8779641511804,44.35809636726103,292.61351121078286,415.73814834453793,635.140271536744
