GEOHASH,LATITUDE,LONGITUDE,ilce
sxk9sc,41.05544979306648,29.03734177257807,Beşiktaş/Beşiktaş
sxk9sd,41.05846467451872,29.030767153188915,Beşiktaş/Beşiktaş
sxk9s4,41.058138644174775,29.010019298479172,Beşiktaş/Şişli
sxk9s7,41.06281408548297,29.01499747058035,Şişli/Beşiktaş
sxkdhz,41.17373482137838,29.0369338958141,Sarıyer/Sarıyer
sxk9uz,41.129205883465055,29.046724717729685,Sarıyer/Sarıyer
sxkdjp,41.17241711729024,29.05164840083768,Sarıyer/Sarıyer
sxkdjp,41.17242960428655,29.0508036724862,Sarıyer/Sarıyer
sxkdjp,41.17197632750474,29.051424508235115,Sarıyer/Sarıyer
sxk9ed,41.05809094089516,28.985571528702295,Şişli/Şişli
sxk9s4,41.056800843414045,29.007993019633787,Şişli/Beşiktaş
sxk9sc,41.05589759177126,29.03696291609616,Beşiktaş/Beşiktaş
sxk9s1,41.05570200874605,29.00572013040255,Şişli/Beşiktaş
sxkdh7,41.15158435786971,29.020484623205476,Sarıyer/Sarıyer
sxkdhd,41.14768160079178,29.03249857596486,Sarıyer/Sarıyer
sxk9sc,41.05515804258785,29.03776226182493,Beşiktaş/Beşiktaş
sxk9s7,41.0643168306055,29.018617168766767,Beşiktaş/Şişli
sxkdhf,41.14541465074099,29.04236290893806,Sarıyer/Sarıyer
sxkdhx,41.17479332503903,29.029040958031214,Sarıyer/Sarıyer
sxk9uy,41.122857480398565,29.037961168201576,Sarıyer/Sarıyer
sxkdhz,41.173729757435744,29.04007762382273,Sarıyer/Sarıyer
sxkdjp,41.17140254204227,29.05364426748419,Sarıyer/Sarıyer
sxk9ut,41.11989826791404,29.03409094562223,Sarıyer/Sarıyer
sxkdh7,41.150851939947344,29.021067829602288,Sarıyer/Sarıyer
sxk9e6,41.05700712628356,28.98056647007591,Şişli/Şişli
sxk9uz,41.12904690079437,29.044812991535256,Sarıyer/Sarıyer
sxk9e3,41.05111978796158,28.976257883600493,Şişli/Şişli
sxkdhf,41.14616128782792,29.038628450662017,Sarıyer/Sarıyer
sxk9s4,41.05997534640608,29.011653279036587,Şişli/Beşiktaş
sxk9ed,41.05737326945765,28.99171045381437,Şişli/Şişli
sxk9e7,41.063550622202726,28.981280651947245,Şişli/Şişli
sxkdhx,41.17418981010317,29.030914204240737,Sarıyer/Sarıyer
sxk9ew,41.07993936532544,28.98931593714068,Şişli/Kağıthane
sxkdhf,41.14613434386568,29.039387214165888,Sarıyer/Sarıyer
sxk9ec,41.05586631439823,28.99981584918811,Şişli/Şişli
sxkdhf,41.14627244074065,29.037806727238745,Sarıyer/Sarıyer
sxk9e7,41.065079163505736,28.981006054279472,Şişli/Şişli
sxkdhz,41.173008202770006,29.040509165453297,Sarıyer/Sarıyer
sxk9e3,41.0553766307457,28.97941770726153,Şişli/Şişli
sxkdhz,41.172923694532095,29.04340328304694,Sarıyer/Sarıyer
sxk9ek,41.07097326440291,28.97845004411472,Şişli/Şişli
sxk9sc,41.05420589348967,29.03820784377901,Beşiktaş/Beşiktaş
sxkdh7,41.15107336950603,29.020688568801347,Sarıyer/Sarıyer
sxkdhx,41.173229909384816,29.036666129746717,Sarıyer/Sarıyer
sxk9s4,41.061005414772495,29.01309203666432,Şişli/Beşiktaş
sxk9s4,41.05923007897975,29.01201597121464,Beşiktaş/Şişli
sxkdjp,41.17271172101526,29.05043793849753,Sarıyer/Sarıyer
sxk9ek,41.0669314575138,28.97968004505723,Şişli/Şişli
sxk9ew,41.080178427235936,28.989880606098936,Kağıthane/Şişli
sxk9ek,41.06873649148893,28.978580734587062,Şişli/Şişli
sxk9ey,41.08080446294021,28.997954382506972,Şişli/Kağıthane
sxk9uy,41.124485942745686,29.040560506362475,Sarıyer/Sarıyer
sxkdhd,41.14751310542803,29.03478724837172,Sarıyer/Sarıyer
sxk9ut,41.12108712355931,29.0357588945192,Sarıyer/Sarıyer
sxk9sd,41.05922169126895,29.03115349107428,Beşiktaş/Beşiktaş
sxk9uz,41.12831134752076,29.045354519577447,Sarıyer/Sarıyer
sxk9s7,41.06286452573952,29.015839388871388,Şişli/Beşiktaş
sxk9e7,41.0650683938978,28.98025971535259,Şişli/Şişli
sxk9e3,41.05423472104749,28.97990689461309,Şişli/Şişli
